date,sku_id,units_sold,revenue,unit_price,discount_pct,promo_flag
2022-01-01,S001_P0001,127,3403.6000000000004,33.5,20.0,0
2022-01-01,S001_P0002,150,7561.200000000001,63.01,20.0,0
2022-01-01,S001_P0003,65,1637.415,27.99,10.0,1
2022-01-01,S001_P0004,61,1796.328,32.72,10.0,1
2022-01-01,S001_P0005,14,1030.96,73.64,0.0,0
2022-01-01,S001_P0006,128,8850.816,76.83,10.0,1
2022-01-01,S001_P0007,97,2982.1679999999997,34.16,10.0,1
2022-01-01,S001_P0008,312,29044.235999999997,97.99,5.0,0
2022-01-01,S001_P0009,175,3266.5499999999997,20.74,10.0,0
2022-01-01,S001_P0010,28,1679.72,59.99,0.0,1
2022-01-01,S001_P0011,150,7901.55,58.53,10.0,1
2022-01-01,S001_P0012,24,1118.4,58.25,20.0,0
2022-01-01,S001_P0013,42,1831.2,43.6,0.0,0
2022-01-01,S001_P0014,12,937.3199999999999,78.11,0.0,0
2022-01-01,S001_P0015,369,29166.313499999997,92.99,15.0,0
2022-01-01,S001_P0016,255,5305.275,21.9,5.0,1
2022-01-01,S001_P0017,246,4146.576,21.07,20.0,0
2022-01-01,S001_P0018,151,2807.3165,19.57,5.0,0
2022-01-01,S001_P0019,257,16949.664,73.28,10.0,0
2022-01-01,S001_P0020,99,2844.0719999999997,30.24,5.0,0
2022-01-01,S002_P0001,104,2728.96,32.8,20.0,1
2022-01-01,S002_P0002,141,5857.704,46.16,10.0,1
2022-01-01,S002_P0003,182,2978.9760000000006,20.46,20.0,1
2022-01-01,S002_P0004,63,1649.97,26.19,0.0,0
2022-01-01,S002_P0005,156,10394.592000000002,83.29,20.0,0
2022-01-01,S002_P0006,250,17118.0,85.59,20.0,0
2022-01-01,S002_P0007,393,34023.3855,91.13,5.0,0
2022-01-01,S002_P0008,29,1553.472,66.96,20.0,0
2022-01-01,S002_P0009,9,695.0295,81.29,5.0,1
2022-01-01,S002_P0010,126,7665.84,60.84,0.0,1
2022-01-01,S002_P0011,13,450.05999999999995,34.62,0.0,1
2022-01-01,S002_P0012,25,464.5499999999999,19.56,5.0,1
2022-01-01,S002_P0013,283,13081.392,57.78,20.0,0
2022-01-01,S002_P0014,359,26215.615999999998,91.28,20.0,0
2022-01-01,S002_P0015,129,6568.034999999999,59.9,15.0,1
2022-01-01,S002_P0016,63,2300.7599999999998,45.65,20.0,1
2022-01-01,S002_P0017,373,3494.264,11.71,20.0,1
2022-01-01,S002_P0018,160,8943.68,58.84,5.0,0
2022-01-01,S002_P0019,15,1211.1074999999998,84.99,5.0,1
2022-01-01,S002_P0020,101,8797.099999999999,87.1,0.0,1
2022-01-01,S003_P0001,147,9385.876499999998,67.21,5.0,1
2022-01-01,S003_P0002,4,101.52,28.2,10.0,1
2022-01-01,S003_P0003,77,3891.888,56.16,10.0,1
2022-01-01,S003_P0004,31,2220.344,89.53,20.0,1
2022-01-01,S003_P0005,325,25467.0,97.95,20.0,0
2022-01-01,S003_P0006,163,11825.8945,76.37,5.0,1
2022-01-01,S003_P0007,34,2514.011,86.99,15.0,1
2022-01-01,S003_P0008,47,2657.8734999999997,66.53,15.0,1
2022-01-01,S003_P0009,15,954.465,74.86,15.0,1
2022-01-01,S003_P0010,126,11621.672999999999,97.09,5.0,1
2022-01-01,S003_P0011,232,13036.08,56.19,0.0,1
2022-01-01,S003_P0012,175,12653.2,90.38,20.0,0
2022-01-01,S003_P0013,17,1006.1280000000002,73.98,20.0,1
2022-01-01,S003_P0014,369,27703.9665,79.03,5.0,0
2022-01-01,S003_P0015,260,6846.839999999999,27.72,5.0,0
2022-01-01,S003_P0016,347,28958.191,98.18,15.0,0
2022-01-01,S003_P0017,150,3861.75,27.1,5.0,1
2022-01-01,S003_P0018,70,5776.259999999999,97.08,15.0,1
2022-01-01,S003_P0019,249,5653.1714999999995,26.71,15.0,1
2022-01-01,S003_P0020,370,28371.600000000002,95.85,20.0,1
2022-01-01,S004_P0001,271,3598.0669999999996,15.62,15.0,0
2022-01-01,S004_P0002,180,7033.2300000000005,41.13,5.0,0
2022-01-01,S004_P0003,344,24580.864,89.32,20.0,0
2022-01-01,S004_P0004,0,0.0,87.23,10.0,0
2022-01-01,S004_P0005,200,16344.0,81.72,0.0,1
2022-01-01,S004_P0006,382,14216.130000000001,41.35,10.0,0
2022-01-01,S004_P0007,190,10223.520000000002,67.26,20.0,0
2022-01-01,S004_P0008,51,3503.9040000000005,85.88,20.0,1
2022-01-01,S004_P0009,40,2132.2799999999997,59.23,10.0,1
2022-01-01,S004_P0010,104,2959.6319999999996,33.48,15.0,0
2022-01-01,S004_P0011,46,2522.6400000000003,54.84,0.0,1
2022-01-01,S004_P0012,9,121.83749999999999,14.25,5.0,1
2022-01-01,S004_P0013,56,3461.36,61.81,0.0,0
2022-01-01,S004_P0014,63,3795.4980000000005,66.94,10.0,1
2022-01-01,S004_P0015,181,10409.853,60.54,5.0,0
2022-01-01,S004_P0016,94,7531.374,94.26,15.0,0
2022-01-01,S004_P0017,46,1175.3,25.55,0.0,0
2022-01-01,S004_P0018,8,127.148,16.73,5.0,1
